# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
nlpQ	early	11.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sugG	early	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
upvC	middle	33.01	35.98	37.97	24.97	25.94	22.98	13.97	13.98	9.99	5.00	2.00
sshM	middle	255.05	302.85	361.73	362.58	396.12	376.62	382.14	398.36	375.78	369.73	317.18
iaxG	early	25.00	18.99	11.99	9.99	4.99	2.00	3.99	2.00	1.00	0.00	0.00
kywB	early	155.03	120.94	84.94	86.90	63.86	48.95	28.93	17.97	12.99	6.99	6.00
uwaM	middle	23.00	35.98	34.97	29.97	21.95	9.99	17.96	12.98	7.00	6.99	9.01
caoB	early	139.02	100.95	57.96	33.96	17.96	10.99	6.98	3.99	5.00	1.00	0.00
mmlJ	middle	12.00	10.00	17.99	16.98	9.98	13.99	9.98	9.98	8.00	6.00	8.00
stcM	early	2198.39	2188.95	2020.52	1817.91	1443.78	1294.68	1100.52	911.54	727.56	588.57	423.24
psiQ	early	10.00	8.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fnwE	middle	35.01	27.99	36.97	26.97	30.93	22.98	7.98	17.97	9.99	3.00	3.00
olaY	late	325.06	391.81	516.62	556.36	637.58	644.34	792.21	858.63	904.46	956.30	963.54
lnqR	middle	23.00	31.98	33.98	56.93	42.90	41.96	63.86	43.93	53.97	65.95	48.03
ezqU	early	67.01	61.97	33.98	23.97	18.96	13.99	9.98	3.99	5.00	4.00	2.00
bjcP	early	63.01	40.98	15.99	16.98	12.97	4.00	2.00	3.00	2.00	1.00	0.00
juoT	early	13.00	9.00	6.00	11.99	9.98	8.99	1.00	4.99	4.00	3.00	0.00
whqX	early	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jwwY	middle	43.01	48.98	29.98	26.97	17.96	11.99	8.98	8.99	4.00	1.00	1.00
ojdQ	late	300.05	332.84	442.68	438.50	474.94	490.50	540.78	533.15	520.69	549.60	582.33
hglW	early	88.02	29.99	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
wrbH	middle	904.16	994.52	880.35	823.05	763.30	702.28	568.72	480.23	420.75	320.76	279.16
ixrC	early	32.01	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
svuU	middle	77.01	81.96	52.96	36.96	13.97	21.98	14.97	9.98	5.00	5.00	3.00
wynI	middle	31.01	46.98	30.98	36.96	43.90	41.96	33.92	38.94	25.98	28.98	18.01
mkaB	early	16.00	5.00	7.99	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
rywZ	middle	40.01	41.98	41.97	37.96	24.94	13.99	13.97	12.98	8.99	7.99	2.00
jwzN	middle	48.01	67.97	54.96	28.97	44.90	17.98	15.96	11.98	16.99	6.00	3.00
iaeP	middle	36.01	38.98	58.96	56.93	69.84	81.92	82.81	95.85	83.95	107.92	102.06
jnbD	early	351.06	344.83	270.80	253.71	197.56	186.81	118.73	93.85	76.95	55.96	50.03
dnjC	middle	28.01	31.98	28.98	27.97	23.95	25.97	9.98	11.98	5.00	5.00	4.00
jmhR	middle	128.02	167.92	180.87	185.79	188.58	151.84	181.59	163.74	158.90	141.90	143.08
ezhI	early	64.01	24.99	6.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qrbD	early	102.02	58.97	25.98	9.99	3.99	3.00	2.99	2.00	0.00	0.00	0.00
jabI	middle	159.03	186.91	173.87	145.83	154.65	125.87	105.76	91.85	91.95	68.95	70.04
xpzA	early	263.05	222.89	177.87	183.79	142.68	112.88	99.78	80.87	64.96	45.97	31.02
rqoN	middle	38.01	49.98	44.97	45.95	56.87	56.94	63.86	57.91	51.97	55.96	53.03
wipG	early	489.09	462.78	469.66	380.56	327.27	273.72	203.54	148.76	139.92	125.91	93.05
aztX	middle	7.00	10.00	3.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
pvvR	early	7.00	4.00	3.00	1.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00
fpdS	early	68.01	35.98	13.99	4.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00
dxwN	middle	132.02	163.92	218.84	288.67	292.35	357.63	357.19	364.42	419.75	464.66	439.25
umzA	early	7.00	4.00	6.00	4.00	6.98	1.00	2.99	0.00	1.00	1.00	0.00
mwtF	middle	44.01	36.98	45.97	41.95	29.93	38.96	25.94	21.96	17.99	14.99	8.00
quwU	early	166.03	126.94	72.95	28.97	18.96	4.00	3.99	1.00	0.00	0.00	1.00
oesE	early	53.01	9.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kjjQ	early	73.01	21.99	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bvvZ	early	4.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lqwF	middle	53.01	59.97	64.95	43.95	31.93	29.97	15.96	16.97	17.99	10.99	3.00
pdmZ	early	4.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sqoH	middle	80.01	86.96	87.94	86.90	93.79	89.91	93.79	78.87	66.96	65.95	56.03
vkqO	early	5.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ooyM	early	16.00	11.99	14.99	12.99	12.97	8.99	11.97	3.99	1.00	4.00	1.00
dwcZ	middle	3.00	5.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sytE	early	1062.19	885.57	708.48	499.43	368.18	285.71	167.62	134.78	90.95	56.96	32.02
ziiQ	early	54.01	32.98	28.98	13.98	9.98	4.00	4.99	1.00	3.00	0.00	1.00
lhmB	early	371.07	273.87	170.87	107.88	62.86	36.96	24.94	12.98	9.99	6.00	1.00
jfpB	middle	15.00	19.99	11.99	14.98	3.99	6.99	2.00	5.99	0.00	2.00	1.00
nnsG	middle	43.01	54.97	36.97	27.97	29.93	33.97	21.95	17.97	14.99	15.99	16.01
ltpW	early	222.04	218.89	193.86	184.79	191.57	163.83	132.70	120.81	81.95	81.94	79.04
llyF	middle	53.01	63.97	57.96	51.94	50.89	54.94	40.91	31.95	18.99	20.98	19.01
zsaF	middle	60.01	61.97	35.97	38.96	33.92	28.97	20.95	19.97	15.99	14.99	9.01
hkxG	early	7.00	6.00	4.00	3.00	4.99	0.00	2.00	1.00	0.00	0.00	0.00
zbrY	early	6.00	3.00	2.00	2.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00
bjoL	early	79.01	73.96	51.96	36.96	11.97	20.98	8.98	5.99	8.00	1.00	0.00
qzmP	middle	9.00	9.00	7.99	10.99	10.98	4.00	5.99	6.99	4.00	2.00	1.00
rtlL	early	5.00	3.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
aynK	early	181.03	91.96	41.97	20.98	12.97	5.99	2.00	0.00	0.00	0.00	0.00
vkiC	early	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kneJ	early	10.00	9.00	2.00	3.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
fgiA	middle	876.16	940.55	1069.22	1131.70	1235.24	1285.69	1240.20	1193.09	1201.28	1083.20	1093.61
dktG	early	964.17	732.65	628.54	438.50	332.26	221.77	152.66	88.86	64.96	47.96	30.02
ahbO	middle	18.00	24.99	8.99	0.00	6.98	4.00	1.00	0.00	0.00	0.00	0.00
xupN	middle	196.04	251.88	248.82	276.68	266.41	254.74	241.46	248.60	204.88	202.85	202.11
cagB	early	143.03	99.95	56.96	29.97	18.96	11.99	9.98	6.99	2.00	4.00	1.00
pfcX	middle	337.06	349.83	355.74	333.62	281.37	244.75	199.55	186.70	143.91	136.90	106.06
uabJ	early	30.01	7.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rmwC	late	1502.27	1823.12	2281.33	2528.09	2765.82	3036.90	3232.71	3262.78	3398.97	3437.47	3619.03
yybJ	middle	25.00	33.98	31.98	28.97	25.94	25.97	23.95	23.96	20.99	21.98	20.01
gmfQ	early	20.00	12.99	4.00	5.99	0.00	0.00	1.00	0.00	0.00	0.00	0.00
gflF	middle	122.02	129.94	134.90	113.87	133.70	136.86	135.69	104.83	95.94	95.93	77.04
qvuV	middle	1.00	1.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
zfpU	middle	50.01	58.97	31.98	42.95	17.96	16.98	16.96	17.97	9.99	7.99	7.00
qxnS	early	99.02	34.98	17.99	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
xgrA	early	419.08	397.81	374.72	369.57	288.36	217.78	185.58	141.77	120.93	116.91	86.05
ffhT	middle	14.00	14.99	6.00	6.99	3.99	2.00	0.00	0.00	0.00	0.00	0.00
ojiR	middle	322.06	355.83	391.71	357.59	321.28	322.67	299.33	265.58	256.85	181.87	211.12
nhtP	middle	112.02	187.91	227.83	262.70	263.41	291.70	336.24	349.44	366.78	409.70	396.22
cbjA	middle	2.00	0.00	1.00	1.00	6.98	2.00	2.00	1.00	1.00	1.00	1.00
brpT	early	99.02	53.97	25.98	11.99	4.99	2.00	2.00	2.00	0.00	0.00	0.00
nskG	middle	151.03	154.93	130.90	117.86	90.80	115.88	77.82	68.89	39.98	33.98	37.02
mrjS	early	32.01	28.99	20.98	26.97	22.95	18.98	14.97	4.99	3.00	5.00	4.00
tvdI	middle	45.01	47.98	44.97	39.95	27.94	27.97	24.94	15.97	11.99	13.99	11.01
nioE	middle	348.06	379.82	413.70	419.52	400.11	361.63	397.10	338.46	242.85	275.80	242.14
gqvF	early	37.01	22.99	12.99	7.99	4.99	4.99	1.00	0.00	0.00	0.00	1.00
hnsB	middle	37.01	30.99	38.97	36.96	27.94	20.98	11.97	19.97	18.99	15.99	14.01
mzbD	early	18.00	8.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zrmF	early	1491.27	1069.49	718.47	457.47	294.34	190.80	93.79	49.92	36.98	17.99	11.01
fjnS	middle	4.00	5.00	5.00	2.00	3.99	1.00	1.00	3.00	0.00	0.00	0.00
dvuD	middle	1104.20	1145.45	988.27	893.97	732.36	548.44	524.82	378.39	304.82	239.82	190.11
lfbS	middle	50.01	46.98	51.96	52.94	46.90	41.96	32.93	33.95	21.99	16.99	21.01
wnkY	early	20.00	6.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ntcF	middle	69.01	77.96	81.94	71.92	71.84	67.93	62.86	69.89	51.97	53.96	50.03
xzjW	middle	313.06	358.83	329.76	298.66	280.37	242.75	193.56	170.73	128.92	108.92	98.06
dgeW	middle	4.00	6.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
mdrM	early	16.00	15.99	9.99	11.99	10.98	12.99	9.98	9.98	10.99	5.00	4.00
xxuD	early	60.01	24.99	6.99	3.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
cguA	early	63.01	50.98	51.96	46.95	37.92	30.97	17.96	15.97	8.00	6.00	9.01
vekP	early	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dhqL	early	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kopE	early	101.02	39.98	18.99	8.99	2.00	2.00	0.00	0.00	0.00	0.00	0.00
jbxG	early	48.01	11.99	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cdyJ	middle	3.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hdaR	middle	18.00	28.99	29.98	12.99	13.97	16.98	11.97	2.00	6.00	6.00	1.00
yrtS	middle	1.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
wzwM	middle	253.05	266.87	252.81	239.72	236.47	215.78	170.62	153.75	166.90	150.89	123.07
zhjX	early	14.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xgfG	middle	30.01	31.98	29.98	36.96	31.93	28.97	19.96	18.97	14.99	5.00	8.00
vjdA	early	95.02	67.97	27.98	14.98	7.98	4.99	2.99	0.00	1.00	0.00	0.00
gxgE	middle	142.03	178.91	170.87	154.82	122.73	116.88	109.75	70.89	74.96	42.97	37.02
gwsT	middle	602.11	705.66	701.49	662.24	655.54	544.44	505.86	419.33	362.78	361.73	292.16
vzsR	middle	12.00	13.99	10.99	3.00	2.99	0.00	1.00	0.00	0.00	0.00	0.00
zjwO	early	5.00	5.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
chsP	early	110.02	52.97	21.98	18.98	4.99	4.99	2.00	0.00	1.00	1.00	0.00
dbrE	middle	3.00	3.00	4.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
innW	early	44.01	21.99	5.00	4.99	1.00	1.00	2.00	0.00	0.00	0.00	0.00
chxG	early	95.02	71.97	74.94	69.92	73.84	46.95	45.90	34.94	35.98	22.98	19.01
kpnS	middle	337.06	385.81	440.68	499.43	487.91	520.47	510.85	474.24	455.73	461.66	403.23
xyeK	early	222.04	218.89	192.86	155.82	148.67	116.88	104.76	81.87	54.97	44.97	32.02
ipzY	middle	388.07	398.81	351.74	278.68	257.43	200.79	148.66	150.76	95.94	88.93	100.06
uocB	early	31.01	18.99	12.99	5.99	4.99	3.00	1.00	2.00	1.00	0.00	0.00
twmV	middle	154.03	165.92	165.88	140.84	144.68	104.89	99.78	88.86	55.97	61.95	58.03
sxfA	middle	595.11	629.70	668.51	684.21	636.58	554.43	571.71	477.24	466.72	402.70	340.19
jtdR	early	34.01	25.99	16.99	6.99	6.98	1.00	0.00	0.00	0.00	1.00	0.00
ytbH	early	313.06	277.87	254.81	244.72	196.56	177.82	134.70	126.80	82.95	63.95	53.03
jiyO	middle	170.03	182.91	152.89	165.81	157.65	161.83	115.74	123.80	114.93	82.94	85.05
jhkI	early	151.03	53.97	20.98	3.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00
eziJ	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
swbA	early	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ronX	early	105.02	51.98	37.97	30.96	13.97	12.99	5.99	2.00	3.00	0.00	0.00
tggI	early	2330.42	1107.47	490.64	240.72	102.77	28.97	13.97	3.99	4.00	0.00	0.00
hmvJ	middle	406.07	414.80	373.73	370.57	273.39	230.76	209.53	171.73	140.92	98.93	81.05
bzcB	middle	1688.30	1966.06	2057.49	2208.46	2100.31	1930.03	1932.64	1705.27	1652.01	1438.94	1363.77
pbqF	early	114.02	83.96	74.94	60.93	29.93	26.97	17.96	12.98	6.00	3.00	5.00
ywlE	early	14.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zjzL	early	8.00	4.00	6.00	5.99	2.00	5.99	6.98	5.99	3.00	4.00	2.00
dumD	early	255.05	197.91	120.91	102.88	78.82	47.95	32.93	16.97	9.99	6.00	4.00
ruuM	early	207.04	196.91	121.91	115.87	71.84	53.94	53.88	32.95	20.99	11.99	9.01
bzlX	middle	1.00	3.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
arsT	middle	127.02	169.92	179.87	190.78	195.56	171.82	175.60	143.77	145.91	155.89	107.06
ztdB	middle	10.00	10.00	10.99	6.99	3.99	2.00	3.99	3.99	2.00	2.00	0.00
sweL	early	12.00	8.00	10.99	3.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00
rtmX	middle	99.02	96.95	112.92	97.89	71.84	53.94	68.84	39.94	40.98	32.98	28.02
uldI	middle	15.00	12.99	16.99	9.99	7.98	1.00	2.00	2.00	4.00	0.00	0.00
lulI	early	31.01	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sqrJ	middle	1138.20	1426.32	1587.83	1776.95	1747.10	1829.13	1893.73	1830.07	1853.89	1779.69	1711.96
mhbV	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lsxW	middle	87.02	96.95	78.94	72.92	32.93	37.96	15.96	18.97	9.99	13.99	8.00
oemW	late	370.07	483.77	557.59	564.35	573.72	612.37	636.57	618.01	622.63	625.54	641.36
futX	early	67.01	10.00	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jgrR	early	51.01	31.98	12.99	7.99	2.00	2.00	0.00	1.00	0.00	0.00	0.00
pelT	early	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zsbS	early	425.08	375.82	337.75	253.71	186.58	176.82	125.72	92.85	75.95	50.96	33.02
ahhL	early	10.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dwaF	early	57.01	36.98	37.97	21.97	5.99	15.98	8.98	3.99	5.00	1.00	1.00
prwM	early	76.01	74.96	46.97	38.96	37.92	30.97	19.96	15.97	12.99	6.99	2.00
fnjZ	middle	31.01	35.98	29.98	19.98	19.96	7.99	8.98	4.99	4.00	2.00	0.00
vueW	middle	6.00	10.99	10.99	8.99	9.98	5.99	9.98	7.99	5.00	5.00	2.00
aimR	early	16.00	12.99	9.99	6.99	6.98	4.99	6.98	5.99	1.00	1.00	2.00
xhlG	middle	12.00	12.99	8.99	10.99	9.98	6.99	1.00	5.99	5.00	2.00	3.00
ntvL	early	47.01	37.98	32.98	15.98	10.98	4.99	6.98	5.99	3.00	5.00	2.00
zvfO	early	103.02	79.96	62.95	36.96	24.94	11.99	16.96	9.98	2.00	1.00	1.00
wufV	middle	2.00	2.00	3.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
vgyT	middle	8.00	10.99	9.99	6.99	3.99	2.00	0.00	0.00	0.00	2.00	0.00
dykM	late	285.05	390.81	410.70	531.39	578.71	662.32	667.50	745.81	760.55	814.40	870.49
pfvV	middle	485.09	558.73	583.57	603.31	624.61	604.38	550.76	582.07	573.66	582.57	499.28
hkeW	early	18.00	10.99	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dgrW	early	45.01	28.99	18.99	3.00	2.99	2.00	2.00	0.00	0.00	0.00	0.00
fpuL	middle	3.00	5.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
ttcU	middle	28.01	25.99	34.97	34.96	32.93	25.97	31.93	20.97	27.98	13.99	31.02
bvxS	middle	31.01	48.98	51.96	40.95	49.89	52.95	46.89	38.94	48.97	35.97	45.03
wpnY	early	9.00	3.00	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oqmU	early	380.07	322.85	262.81	169.80	119.73	84.91	48.89	44.93	22.99	25.98	11.01
nzqZ	late	1738.31	2295.90	2610.08	3043.50	3341.54	3679.24	3898.21	4141.37	4162.51	4201.91	4500.52
unzL	middle	71.01	74.96	74.94	74.91	89.80	61.94	70.84	58.91	55.97	54.96	43.02
bnnK	early	73.01	47.98	40.97	31.96	27.94	14.98	11.97	8.99	5.00	1.00	3.00
jnrV	middle	106.02	109.95	90.93	81.91	59.87	55.94	42.90	16.97	23.99	16.99	12.01
zllR	early	39.01	22.99	9.99	4.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
wzfS	middle	1021.18	1027.51	1076.21	978.87	1006.75	860.12	826.14	744.81	624.63	540.60	482.27
peiK	early	67.01	58.97	53.96	35.96	31.93	26.97	18.96	9.98	10.99	6.00	5.00
txgN	early	22.00	11.99	7.99	3.00	2.99	3.00	0.00	0.00	0.00	1.00	0.00
uwvD	early	9.00	6.00	1.00	0.00	0.00	2.00	2.99	1.00	0.00	0.00	0.00
zocJ	early	10.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tyhO	middle	526.09	528.75	529.61	499.43	466.96	401.59	330.26	298.52	276.83	202.85	192.11
zqnP	early	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
texB	early	68.01	64.97	49.96	53.94	42.90	30.97	29.93	36.94	19.99	12.99	14.01
dmyD	middle	106.02	140.93	146.89	180.79	161.64	164.83	158.64	167.73	168.90	182.87	180.10
qgwZ	middle	338.06	396.81	416.69	422.51	419.06	431.56	445.00	365.42	392.77	378.72	327.18
iaeI	early	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
itiY	early	57.01	19.99	8.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bymH	early	1101.20	856.59	560.59	368.58	253.43	129.87	76.83	58.91	36.98	20.98	8.00
dcwO	early	192.03	107.95	77.94	39.95	33.92	17.98	15.96	4.99	4.00	3.00	2.00
cvrE	early	12.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tqtT	early	26.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dfwL	middle	24.00	34.98	21.98	36.96	24.94	22.98	22.95	28.95	8.99	19.99	14.01
qzcF	early	624.11	609.71	587.57	529.39	485.91	386.60	319.28	281.55	256.85	178.87	138.08
lrrM	middle	145.03	146.93	147.89	113.87	82.82	65.93	60.86	49.92	30.98	24.98	18.01
jdaF	early	27.00	18.99	19.99	16.98	4.99	3.00	4.99	2.00	1.00	0.00	0.00
mzbB	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nzgE	middle	822.15	888.57	745.45	693.20	559.75	507.48	430.03	334.46	298.82	217.84	179.10
ztlW	early	472.08	353.83	264.81	177.80	124.72	82.92	43.90	28.95	14.99	12.99	9.01
fskB	middle	178.03	172.92	180.87	148.83	143.68	128.87	120.73	76.88	84.95	52.96	47.03
aprJ	early	187.03	178.91	127.91	136.84	101.77	89.91	55.87	49.92	39.98	37.97	22.01
dzeK	early	15.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
olzP	early	36.01	21.99	12.99	1.00	3.99	1.00	0.00	0.00	0.00	0.00	0.00
ntqU	early	194.03	155.93	110.92	83.90	58.87	40.96	26.94	18.97	12.99	10.99	6.00
casX	early	95.02	85.96	71.95	48.94	41.91	26.97	28.93	13.98	5.00	2.00	2.00
almQ	early	124.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
auiR	early	43.01	41.98	29.98	19.98	21.95	12.99	15.96	3.99	3.00	2.00	0.00
jddR	early	181.03	118.94	76.94	55.94	31.93	14.98	9.98	5.99	2.00	3.00	0.00
uykR	early	28.01	17.99	8.99	4.99	0.00	0.00	1.00	1.00	0.00	0.00	0.00
fvuZ	middle	34.01	49.98	79.94	87.90	107.76	91.91	102.77	118.81	116.93	154.89	134.08
onoH	middle	108.02	118.94	116.91	110.87	104.77	107.89	98.78	75.88	66.96	71.95	42.02
quvF	early	83.01	77.96	51.96	65.92	50.89	42.96	38.91	26.96	17.99	17.99	13.01
mpyL	early	30.01	22.99	11.99	6.99	2.00	3.00	1.00	1.00	1.00	0.00	0.00
vxhI	early	300.05	246.88	186.86	91.89	68.85	42.96	39.91	22.96	9.99	8.99	3.00
dhdK	early	11.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
retS	early	45.01	20.99	5.00	6.99	6.98	2.00	0.00	0.00	0.00	0.00	0.00
lqbU	early	60.01	52.97	36.97	29.97	20.95	3.00	2.00	1.00	2.00	1.00	0.00
ynxC	middle	443.08	450.78	472.65	411.53	311.30	281.71	222.50	207.67	153.91	143.89	123.07
mriB	early	9.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
iinD	early	96.02	65.97	45.97	29.97	25.94	7.99	10.98	5.99	3.00	2.00	2.00
renA	middle	148.03	182.91	204.85	181.79	195.56	229.77	222.50	216.65	228.86	210.85	186.10
yzdD	early	36.01	19.99	9.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dgfD	middle	5.00	8.00	6.99	5.99	2.00	1.00	1.00	3.99	2.00	0.00	2.00
jleY	middle	708.13	861.59	1013.26	1188.63	1262.18	1343.63	1442.75	1436.70	1482.11	1553.86	1535.86
yunK	middle	143.03	156.92	106.92	114.87	87.80	59.94	54.88	33.95	49.97	32.98	35.02
cavK	middle	524.09	547.74	456.66	449.48	362.19	304.69	253.43	189.70	162.90	156.88	115.06
hipY	middle	8.00	9.00	2.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
ndwK	middle	1.00	6.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
