#cell        type         defA         kilA
173             2           57           25
174             0            1          146
175             2           33           23
176             3            4            1
177             1           54          278
178             4          151            1
179             2           25           30
180             3            3            2
181             2           31           23
182             1          147           55
183             2           26           16
184             1           93           81
185             0            4          184
186             0            2          116
187             3            3            4
188             2           52           31
189             4          145            1
190             1          158          106
191             2           17           54
192             3            4            3
193             4           62            3
194             3            1            2
195             1           71          102
196             1           71           62
197             0            5          113
198             2           10           27
199             4           68            3
200             1           59          175
201             3            2            4
202             1           85          124
203             0            2          163
204             0            7           96
205             2           19           50
206             2           31           80
207             3            3            1
208             0            4           56
209             0            2           97
210             3            1            1
211             3            2            4
212             2           53           37
213             3            4            9
214             3            6            7
215             2           19           32
216             0            1          142
217             3            5            6
218             2           44           14
219             3            3            4
220             1           98          133
221             2           24           27
222             1           37           78
223             2           23           59
224             3            1            2
225             2            8           17
226             1           87           63
227             1          110           57
228             2           56           35
229             2           34           32
230             2           29            1
231             1          122          115
232             1          130           98
233             2           67           55
234             2           21           19
235             3            4            2
236             3            2            1
237             0            5           49
238             2           22           29
239             2           42           35
240             2           39           37
241             4           58            4
242             2            6           20
243             0            4           78
244             2           53           38
245             3            2            1
246             3            3            3
247             2           15           14
248             2           36           29
249             1           37           87
250             1           97          113
251             1           80           63
252             4          121            5
253             1           74           18
254             3            1            3
255             3            1            2
256             3            3            1
257             2           30           37
258             2           28           17
259             4          178            2
260             2           19           42
261             2           50           14
262             0            3          299
263             2           36           14
264             2           22           21
265             1           65          136
266             4           24            3
267             2           19           22
268             2           49           29
269             0            3           67
270             2           26           25
271             0            3          164
272             3            1            2
273             2            7           32
274             3            2            2
275             2           38           12
276             4          119            5
277             4           68            2
278             2           22           39
279             2           29           22
280             0            1           83
281             1           37          117
282             2           29           53
283             2           22           60
284             2           25           13
285             2           24           33
286             2            4           21
287             2           26            9
288             3            2            1
289             1           66           83
290             1          175           50
291             4           69            1
292             3            4            8
293             2           23           48
294             1          185           72
295             4           43            4
296             2           34            2
297             1           48          109
298             2           17           59
299             2           11           32
300             2           36           39
301             3            1            3
302             2           50           53
303             3            6            1
304             4           56            2
305             4           83            5
306             2            9           37
307             2           87            9
308             2           11           20
309             3            4            3
310             2           18           31
311             2           25           28
312             0            2           47
313             3            2            3
314             1          120           73
315             1           81          152
316             3            5            3
317             1          176           66
318             4           64            2
319             2           13            3
320             3            5            1
321             3            1            1
322             1          122           39
323             3            1            4
324             4           83            4
325             1           48           59
326             1          137           82
327             3            4            4
328             2            8           45
329             1           64           75
330             2           21           15
331             2           39           21
332             3            5            5
333             1           84          170
334             2           29           31
335             0            1          123
336             2           32           69
337             3            1            5
338             2           20           34
339             2            7           13
340             4          172            1
341             2           23           20
342             0            3           14
343             1          134          113
344             4           26            7
345             0            2           72
346             1           41           30
347             2           34           22
348             1           87          197
349             3            4            1
350             2           36           37
351             1          198          169
352             3            4            3
353             3            9            3
354             2           24           17
355             1           70           81
356             3            2            5
357             3            4            1
358             2           14           19
359             0            2          265
360             3            1            2
361             2           36           45
362             1           85          114
363             1           86           62
364             1           40           82
365             2           21           22
366             1          115          173
367             0            3          109
368             0            3           98
369             2           33           12
370             2           24           27
371             3            6            2
372             1          117           81
373             4          101            1
374             4          121            1
375             3            2            2
376             2           13           43
377             3            1            3
378             2            7           84
379             3            1            1
380             3            1            3
381             3            6            9
382             2           38           16
383             3            4            4
384             3           10            6
385             3            1            2
386             2           47           30
387             0            6           59
388             3            9            6
389             3            2            1
390             3            5            4
391             2           14           29
392             3            4            6
393             2           48           42
394             4           81            1
395             3            4            3
396             1           76          113
397             2           41           17
398             2           36           43
399             2           25           31
400             0            1           56
401             0            2          194
402             2           18           13
403             1           23          106
404             2           38            8
405             2           36           13
406             1          141           42
407             4          143            7
408             2           13           23
409             2           20           21
410             3            4            7
411             1           74          102
412             0            2          102
413             2           30           90
414             2           28           25
415             1           99           62
416             2           47           41
417             3           13            1
418             1          128           37
419             2            9           24
420             0            5          116
421             2           45           47
422             1          100          116
423             4          114            1
424             2           47           27
425             0            1           92
426             0            2          162
427             2           47           35
428             1           82          100
429             4           87            4
430             2           15           16
431             1           77          111
432             0            1          119
433             3            3            1
434             3            4            3
435             2           17           22
436             2           36            7
437             2           39           51
438             2           22           21
439             2           20           48
440             4           40            1
441             2           22           40
442             3            1            3
443             1           69          104
444             4           69            4
445             2           26           13
446             3            2            4
447             2           30           41
448             3            5            1
449             0            1          126
450             1          180          148
451             2           25           23
452             2           41           43
453             3            5            2
454             0            1          120
455             4          128            3
456             0            1           42
457             1          139          126
458             4          115            3
459             2           38           29
460             2           32           31
461             3            1            3
462             3            1            1
463             2           48           38
464             0            3          207
465             3            2            2
466             2           31           35
467             2           36           11
468             1           65          103
469             1           39           36
470             0            2          182
471             2           32           29
472             2           35           22
473             2           50           35
474             0            5           80
475             2           25           40
476             4          163            1
477             2           41           38
478             1           87           64
479             2           26           24
480             0            3          116
481             2           63           25
482             2           20           26
483             2           32           26
484             2           41           32
485             1           67           46
486             2           29           47
487             2           31           22
488             3            2            2
489             2           29           69
490             3            1            4
491             2           27           18
492             0            1           40
493             1           65          125
494             2           36           25
495             4           55            2
496             3            1            3
497             2           23           36
498             1          134          121
499             2           17           33
500             3            4            7
501             0            5          125
502             3            2            1
503             2           17           26
504             2           34           41
505             2           29           26
506             4           18            3
507             3            1            3
508             0            3          116
509             4           40            1
510             3            1            4
511             3            1            1
512             3            2            4
513             2           30            8
514             2           23           10
515             4          189            2
516             2           11           29
517             0            1           77
518             2           41           35
519             1          123           89
520             3            2            6
521             1          128           54
522             2           35           30
523             2           36           33
524             4          113            1
525             1          100           77
526             2           41           13
527             3            1            1
528             0            5          118
529             3            1            5
530             1          201           60
531             3            4            3
532             1          139           71
533             1           98          118
534             2           14           21
535             2           52           35
536             3            1            4
537             4           70            1
538             2           35           39
539             4           90            5
540             0            1          171
541             1           66           67
542             2           34           22
543             1           68           87
544             4           42            2
545             3            3            4
546             2           28           36
547             2           30           44
548             3            8            1
549             1           68          126
550             3            4            3
551             0            6           32
552             3            3            2
553             2           35           11
554             4           87            4
555             2           47           50
556             2           23           21
557             2           20           22
558             3            4            4
559             2           56           25
560             2           37           28
561             3            3            2
562             1          128          138
563             3            4            5
564             2           15           26
565             3            2            3
566             2           20           42
567             2           40           39
568             2           18           21
569             4           97            2
570             2           43           11
571             2           20           48
572             2           13           33
573             3            8            1
574             3            8            2
575             2           42           61
576             4          162            1
577             1           81          115
578             0            7           79
579             4           57            2
580             2           25           27
581             2           39           15
582             1           59           64
583             2           50           40
584             2           36           61
585             0            7          109
586             4           68            1
587             0            2           96
588             2           32           35
589             3            2            3
590             4          125            4
591             2           29           35
592             2           21            7
593             0            1           62
594             2           16           26
595             1          155           72
596             4          166            6
597             2           27           17
598             1          110           45
599             0            3          224
600             1          158           40
601             1           82          146
602             2           13           16
603             2           27           25
604             2           45           28
605             1          121          124
606             2           35           23
607             2           37           70
608             0            5           90
609             3            2            3
610             0            5           54
611             0            3          113
612             3            2            2
613             1           93          183
614             1           81          179
615             2           39           23
616             3            6            1
617             4           85            3
618             0            1           95
619             3            5            4
620             2           38           25
621             3            3            2
622             0            3           85
623             3            1            7
624             2            9           22
625             2           17           30
626             3            9            2
627             1          121           73
628             3            3            2
629             3            1            1
630             4          120            1
631             3            4            1
632             2           32           20
633             1           31          186
634             2           17           20
635             2           26           38
636             2           18           21
637             0            6          104
638             4           69            1
639             2           39           36
640             0            3           91
641             2           26           25
642             2           36           91
643             2           26           35
644             1           76          131
645             0            1           60
646             2           27           42
647             4          187            4
648             0            2           38
649             0            2          260
650             3            3            1
651             2           21           23
652             3            4            5
653             1          135           68
654             2           31           13
655             4          111            3
656             2           57           36
657             1          118           48
658             1           75          107
659             1          149           59
660             3            3            1
661             3            6            2
662             2           30           24
663             2           29           25
664             2           27           37
665             2           27           45
666             0            2           66
667             2           15            7
668             3            3            3
669             1          196          167
670             4           54            4
671             0            5           40
672             2           20           33
673             2           70           47
674             2           18           11
675             2           47           21
676             3            2            1
677             1           91           96
678             2           20           26
679             3            4            4
680             1          108           76
681             4           68            1
682             2           32           67
683             3            3            2
684             2           12           20
685             4           40            8
686             1           93          133
687             1          104           87
688             3            4            3
689             2           22           28
690             2           22           29
691             2           38           20
692             2           21           25
693             2           15           28
694             3            2            1
695             2           19           61
696             1           63           71
697             4           78            4
698             4          104            2
699             1           61          148
700             1           91          117
701             2           10           47
702             1           99           91
703             3            4            1
704             2           30           43
705             2           34           12
706             1           50           84
707             2           39           18
708             3            1            7
709             4           75            2
710             0            2           57
711             0            1          101
712             2           28          101
713             3            4            6
714             1           89           43
715             2           25           77
716             0            4          176
717             3            6            2
718             2           43           32
719             2           19           78
720             3            2            1
721             2           24           31
722             3            1            1
723             3            3            5
724             2           34           19
725             2           42           26
726             2           18           21
727             1          123          106
728             2           56           32
729             4           78            2
730             0            4           37
731             2           26           25
732             1          125           53
733             2           17           47
734             3            3            4
735             0            3          112
736             0            3          125
737             1           99          119
738             0            1          119
739             2           29           32
740             3            1            2
741             3            2            1
742             3            1            4
743             0            1          112
744             1          111           75
745             1           56          114
746             3            3            2
747             2           24           33
748             3            3            2
749             1          100          123
750             1          122           46
751             3            2            1
752             2           25           56
753             2           12           26
754             3            2            5
755             1          190           85
756             4           62            3
757             1           85          139
758             3            7            2
759             1           93           73
760             1          132          125
761             2           12           26
762             4          154            9
763             1           61           79
764             1           39          118
765             1           59           53
766             1           49          144
767             2           15           47
768             2           34           35
769             4           52            3
770             3            4            5
771             3            4            4
772             1          117           59
773             3            4            3
774             2           25           23
775             4           76            1
776             3            3            2
777             0            1          187
778             3            3            9
779             3            4            4
780             1          112          170
781             2           21           38
782             1           42          104
783             3            1            3
784             2           52           33
785             1          148          144
786             1           53          106
787             4          115            9
788             2            8           21
789             1          159          103
790             2           25           25
791             2           39           57
792             3            1            4
793             2           49           23
794             2           35           25
795             2           47           39
796             3            2            3
797             3            7            3
798             4           86            1
799             0            3           78
800             2           37           36
801             2           24           15
802             1           63          120
803             1          122           74
804             1          126           91
805             2           40           22
806             1           37          141
807             0            5          140
808             2           18           31
809             2           40           10
810             2           15           19
811             0            3          198
812             3            3            1
813             2           32           11
814             2           24           21
815             2           29           51
816             0            7           42
817             2           18           20
818             1          136          204
819             2           29           32
820             3            4            3
821             2           29           25
822             2           10           28
823             3            1            5
824             4           70            1
825             1           91          144
826             1           62          146
827             2           42           16
828             1          106          128
829             1           23           60
830             4           79            1
831             1           78           70
832             2           16           34
833             1           54           92
834             1          143           68
835             1          139           69
836             1          111          110
837             2           40           16
838             3            1            4
839             2           24           28
840             1           97          290
841             2           28           17
842             1           35          106
843             2           39           37
844             2           20           26
845             2           32           42
846             1          115          136
847             2           20           27
848             3            1            3
849             4           77            2
850             1           89          116
851             1          110           72
852             3            4            6
853             3            1            1
854             4           97            3
855             1          145           62
856             2           31           33
857             0            4          100
858             2           28           59
859             1           77          173
860             1           73           43
861             0            1          121
862             1          101          103
863             3            1            2
864             2           41           38
865             2           25           18
866             1           64           58
867             4          139            1
868             4           70            1
869             0            1          120
870             2           18           22
871             1          110           98
872             3            2            9
873             2           15           20
874             2           15           23
875             2           36           28
876             2           25           85
877             1          103           39
878             3            3            1
879             1           25          114
880             4          105            4
881             2           21           36
882             2           23           14
883             2           37           27
884             3            1            8
885             0            6           47
886             2            9           29
887             3            3            1
888             3            5            5
889             2           18           23
890             2           46           35
891             4           35            5
892             2           25           58
893             2           24           29
894             2           35           38
895             3            3            2
896             4          126            6
897             2           39           15
898             3            5            6
899             1           63          206
900             1           75           83
901             1           29           44
902             2            9           51
903             2           17           17
904             3            3            3
905             2           15           49
906             2           40           20
907             3            1            2
908             1           68           83
909             2           13           33
910             2           13           37
911             0            4           71
912             2           20           22
913             1           33           77
914             2           21           36
915             1          183          224
916             1           96          148
917             2           49           17
918             1          112          166
919             2           28           18
920             3            4            2
921             1           80           61
922             2           41           20
923             2           12           16
924             3            6            1
925             4           61            2
926             0            5           53
927             2           40           33
928             3            4           10
929             2           31           37
930             2           63           27
931             3            3            5
932             2           14           35
933             4          139            1
934             2           46           18
935             2           31           18
936             2           14           15
937             2           39           18
938             0            2          118
939             2           36           36
940             2           26           41
941             2            4           25
942             0            7           96
943             4          123            4
944             0            4           65
945             0            1           80
946             2           16           20
947             4          186            2
948             2           74           18
949             1           86           61
950             2           38           39
951             2           37           46
952             3            4            1
953             4           73            4
954             1           90           78
955             2           19           36
956             1          116           95
957             2            9           37
958             1           86           90
959             2           57           62
960             1          150           70
961             3            4            1
962             2            7           33
963             2           16           32
964             3            2            3
965             3            2            6
966             2           49           53
967             2           23           35
968             2           36           23
969             2           21           49
970             4          111            5
971             3            2            4
972             3            4            2
973             2           24           18
974             3            1            1
975             2           22           23
976             0            1           92
977             2           35           20
978             2           40           27
979             3            4            2
980             3            4            3
981             3            3            2
982             0            1           95
983             3            3            1
984             0            5          115
985             3            2            1
986             3            2            2
987             4           94            3
988             1          115           70
989             1          116          120
990             3            3            2
991             2           15           42
992             1          114           81
993             0            6           86
994             0            3           70
995             3            4            1
996             4           72            2
997             0            3           81
998             3            2            2
999             0            4          116
